Id,R_G1,R_G2,R_G3
DEU_LocationALower-13_27_T-1,0.5482117883825365,0.088379490288149,0.0316801410416607
DEU_LocationALower-13_2_T-1,0.2501597892623385,0.1172706671064673,-0.0550078504764521
DEU_LocationALower-13_3_T-1,0.0709589831687146,0.1306590749282466,0.1054081428816595
DEU_LocationALower-13_5_T-1,0.0096998373927036,0.0782682688383285,0.0391681484555261
DEU_LocationALower-13_7_T-1,1.0,0.1565742311245795,-0.0239038601656833
DEU_LocationALower-13_8_T-1,0.1959786499619842,0.0527205794606423,0.0616321392802135
DEU_LocationALower-13_9_T-1,0.9688793267805812,0.041338359601379,0.1005121436970289
DEU_LocationALower-14_10_T-1,0.6913880381348707,0.1228480043158761,0.0702721430884157
DEU_LocationALower-14_11_T-1,1.0,-0.0771472556907417,-0.0372958622218302
DEU_LocationALower-14_12_T-1,0.0921009758962404,0.0975753719815397,0.0211681377988691
DEU_LocationALower-14_14_T-1,0.1749192773568294,0.1403976920662609,-0.0751678607066386
DEU_LocationALower-14_15_T-1,0.184181153958285,0.1209505506972012,0.1336321398385677
DEU_LocationALower-14_16_T-1,0.593719157011601,0.13275,-0.0218878559999999
DEU_LocationALower-14_18_T-1,0.0203140403647904,0.0903524967908447,0.0004321439936371
DEU_LocationALower-14_19_T-1,0.2930991663834709,0.1588677915591752,-0.1254238519998628
DEU_LocationALower-14_1_T-1,0.0352829072254507,0.0496671468527237,0.0102241451217741
DEU_LocationALower-14_23_T-1,0.2545774701644722,0.129835197059838,0.0432001456487794
DEU_LocationALower-14_24_T-1,0.1162232201510426,0.11727693528025,0.1342081451875032
DEU_LocationALower-14_26_T-1,0.2781769185647591,0.1782038271598718,-0.0336958615347672
DEU_LocationALower-14_28_T-1,0.1723532037200338,0.1053159904158537,0.0936001407206308
DEU_LocationALower-14_3_T-1,1.0,-0.0878947677105074,0.0142561371711506
DEU_LocationALower-14_4_T-1,0.604906451736043,0.0573937853671049,-0.0005758490136451
DEU_LocationALower-14_5_T-1,0.0118623202180067,0.0923715849780624,0.0276481463637228
DEU_LocationALower-14_6_T-1,0.0232880082957612,0.0760184174003833,0.0116641503052266
DEU_LocationALower-14_7_T-1,0.3851804815429263,0.1493803876246332,-0.1236958620501339
DEU_LocationALower-14_8_T-1,0.1576887808941227,0.1057940455853533,0.012096141845941
DEU_LocationALower-14_9_T-1,0.0184970998065138,0.074280846359529,0.1278721414637818
DEU_LocationALower-25_10_T-1,0.2424416228260902,0.1371767413933614,0.0839521453069603
DEU_LocationALower-25_11_T-1,0.112774891913834,0.1381572325433122,0.0675361403396647
DEU_LocationALower-25_12_T-1,0.3741671283654233,0.1065869739573482,0.1376641380562265
